
> frontend@0.0.0 dev
> vite --host 0.0.0.0

[vite] 🌐 Public IP: 123.22.61.173
[vite] 🔗 API Base URL: http://123.22.61.173:8080/api

  VITE v8.0.0-beta.16  ready in 1324 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.1.20:5173/
22:58:44 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
22:59:34 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
23:02:34 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
23:03:11 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
23:08:07 [vite] (client) hmr update /src/components/common/TestHeader.jsx
00:03:30 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
00:03:30 [vite] (client) hmr update /src/components/common/TestHeader.jsx
08:36:15 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:36:55 [vite] (client) hmr update /src/styles/ieltsTest.css
08:39:54 [vite] (client) hmr update /src/styles/ieltsTest.css
08:40:57 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:41:32 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:42:57 [vite] (client) hmr update /src/styles/ieltsTest.css
08:43:02 [vite] (client) hmr update /src/styles/ieltsTest.css
08:43:14 [vite] (client) hmr update /src/styles/ieltsTest.css
08:43:14 [vite] (client) hmr update /src/styles/ieltsTest.css
08:43:17 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:43:18 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:43:19 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:43:31 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:43:41 [vite] (client) hmr update /src/styles/ieltsTest.css
08:43:54 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:44:06 [vite] (client) hmr update /src/styles/ieltsTest.css
08:45:55 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:45:59 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:46:11 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:46:11 [vite] (client) hmr update /src/styles/ieltsTest.css
08:47:13 [vite] (client) hmr update /src/pages/IeltsSpeakingTest.jsx
08:48:31 [vite] (client) hmr update /src/styles/ieltsTest.css
